"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate","Margin of Error!!Total!!Less than high school graduate","Estimate!!Total!!High school graduate (includes equivalency)","Margin of Error!!Total!!High school graduate (includes equivalency)","Estimate!!Total!!Some college or associate's degree","Margin of Error!!Total!!Some college or associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Graduate or professional degree","Margin of Error!!Total!!Graduate or professional degree","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Same house 1 year ago!!Less than high school graduate","Margin of Error!!Total!!Same house 1 year ago!!Less than high school graduate","Estimate!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Margin of Error!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Estimate!!Total!!Same house 1 year ago!!Some college or associate's degree","Margin of Error!!Total!!Same house 1 year ago!!Some college or associate's degree","Estimate!!Total!!Same house 1 year ago!!Bachelor's degree","Margin of Error!!Total!!Same house 1 year ago!!Bachelor's degree","Estimate!!Total!!Same house 1 year ago!!Graduate or professional degree","Margin of Error!!Total!!Same house 1 year ago!!Graduate or professional degree","Estimate!!Total!!Moved within same county","Margin of Error!!Total!!Moved within same county","Estimate!!Total!!Moved within same county!!Less than high school graduate","Margin of Error!!Total!!Moved within same county!!Less than high school graduate","Estimate!!Total!!Moved within same county!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved within same county!!High school graduate (includes equivalency)","Estimate!!Total!!Moved within same county!!Some college or associate's degree","Margin of Error!!Total!!Moved within same county!!Some college or associate's degree","Estimate!!Total!!Moved within same county!!Bachelor's degree","Margin of Error!!Total!!Moved within same county!!Bachelor's degree","Estimate!!Total!!Moved within same county!!Graduate or professional degree","Margin of Error!!Total!!Moved within same county!!Graduate or professional degree","Estimate!!Total!!Moved from different county within same state","Margin of Error!!Total!!Moved from different county within same state","Estimate!!Total!!Moved from different county within same state!!Less than high school graduate","Margin of Error!!Total!!Moved from different county within same state!!Less than high school graduate","Estimate!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different county within same state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different county within same state!!Some college or associate's degree","Estimate!!Total!!Moved from different county within same state!!Bachelor's degree","Margin of Error!!Total!!Moved from different county within same state!!Bachelor's degree","Estimate!!Total!!Moved from different county within same state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different county within same state!!Graduate or professional degree","Estimate!!Total!!Moved from different state","Margin of Error!!Total!!Moved from different state","Estimate!!Total!!Moved from different state!!Less than high school graduate","Margin of Error!!Total!!Moved from different state!!Less than high school graduate","Estimate!!Total!!Moved from different state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different state!!Some college or associate's degree","Estimate!!Total!!Moved from different state!!Bachelor's degree","Margin of Error!!Total!!Moved from different state!!Bachelor's degree","Estimate!!Total!!Moved from different state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different state!!Graduate or professional degree","Estimate!!Total!!Moved from abroad","Margin of Error!!Total!!Moved from abroad","Estimate!!Total!!Moved from abroad!!Less than high school graduate","Margin of Error!!Total!!Moved from abroad!!Less than high school graduate","Estimate!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from abroad!!Some college or associate's degree","Margin of Error!!Total!!Moved from abroad!!Some college or associate's degree","Estimate!!Total!!Moved from abroad!!Bachelor's degree","Margin of Error!!Total!!Moved from abroad!!Bachelor's degree","Estimate!!Total!!Moved from abroad!!Graduate or professional degree","Margin of Error!!Total!!Moved from abroad!!Graduate or professional degree"
"1400000US10003000400","Census Tract 4, New Castle County, Delaware","2318","183","144","82","1081","208","351","127","443","134","299","111","2082","190","143","82","939","208","316","127","400","123","284","109","162","89","0","11","89","68","34","27","25","26","14","22","32","30","1","3","15","17","0","11","16","27","0","11","32","27","0","11","28","26","1","3","2","3","1","2","10","16","0","11","10","16","0","11","0","11","0","11"
"1400000US10003001300","Census Tract 13, New Castle County, Delaware","2762","206","20","23","379","155","422","123","882","157","1059","139","2418","204","15","21","323","148","380","119","730","145","970","129","236","116","2","4","37","35","24","36","127","87","46","44","11","15","0","11","2","5","9","14","0","11","0","11","97","66","3","7","17","23","9","14","25","26","43","42","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003002600","Census Tract 26, New Castle County, Delaware","2245","278","462","130","937","237","476","165","209","98","161","96","1968","291","396","128","815","237","414","152","182","100","161","96","191","78","51","42","70","59","43","52","27","24","0","11","15","23","15","23","0","11","0","11","0","11","0","11","71","43","0","11","52","41","19","22","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003010200","Census Tract 102, New Castle County, Delaware","1529","83","124","51","545","102","416","94","299","64","145","47","1438","82","124","51","497","100","380","83","299","64","138","47","20","21","0","11","13","17","7","12","0","11","0","11","13","18","0","11","1","5","12","17","0","11","0","11","58","43","0","11","34","35","17","18","0","11","7","10","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003010300","Census Tract 103, New Castle County, Delaware","2351","205","254","124","688","188","729","210","407","123","273","135","2191","218","254","124","664","187","689","208","381","118","203","99","98","76","0","11","8","14","32","38","26","31","32","53","0","11","0","11","0","11","0","11","0","11","0","11","62","63","0","11","16","25","8","13","0","11","38","57","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003010800","Census Tract 108, New Castle County, Delaware","3707","215","242","115","681","166","808","153","1135","175","841","143","3238","244","208","109","606","162","752","147","980","162","692","148","289","133","23","17","50","50","46","37","93","71","77","82","15","24","0","11","2","2","10","17","0","11","3","8","129","81","11","19","23","25","0","11","48","46","47","38","36","41","0","11","0","11","0","11","14","16","22","24"
"1400000US10003000602","Census Tract 6.02, New Castle County, Delaware","2013","339","496","219","1060","250","237","97","128","77","92","79","1725","325","440","202","923","233","212","84","80","48","70","72","174","91","36","41","113","88","25","38","0","11","0","11","48","68","0","11","0","11","0","11","48","68","0","11","66","77","20","30","24","37","0","11","0","11","22","32","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003001600","Census Tract 16, New Castle County, Delaware","1491","272","267","88","611","165","408","126","102","72","103","50","1111","195","211","80","486","137","293","98","52","54","69","44","276","167","46","55","97","63","100","76","22","33","11","13","33","25","10","16","16","15","7","11","0","11","0","11","59","48","0","11","12","21","8","15","22","27","17","20","12","17","0","11","0","11","0","11","6","9","6","8"
"1400000US10003002300","Census Tract 23, New Castle County, Delaware","1625","275","347","185","747","253","337","122","99","75","95","62","1496","286","339","185","721","251","242","111","99","75","95","62","84","61","7","13","19","31","58","54","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","45","57","1","4","7","17","37","53","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
